,gpa,major,gmat,work_exp,admission
309,3.4,STEM,630.0,5.0,Rejected
310,3.49,Business,700.0,5.0,Admit
311,3.17,Humanities,670.0,2.0,Rejected
312,3.3,Business,650.0,4.0,Rejected
313,3.25,Humanities,580.0,5.0,Admit
314,3.33,Business,580.0,5.0,Rejected
315,3.29,Humanities,700.0,4.0,Admit
316,3.32,Humanities,700.0,6.0,Rejected
317,3.33,STEM,680.0,4.0,Admit
318,3.32,Humanities,630.0,5.0,Admit
319,3.03,Humanities,590.0,4.0,Rejected
320,3.44,Business,650.0,6.0,Rejected
321,3.24,STEM,610.0,5.0,Admit
322,3.36,Humanities,650.0,6.0,Rejected
323,3.14,Humanities,580.0,5.0,Admit
324,3.2,STEM,710.0,4.0,Rejected
325,3.1,Humanities,570.0,5.0,Rejected
326,3.37,Humanities,660.0,4.0,Rejected
327,3.31,Humanities,610.0,6.0,Rejected
328,3.34,STEM,750.0,6.0,Rejected
329,3.38,Business,570.0,4.0,Rejected
330,3.32,Humanities,600.0,5.0,Rejected
331,3.33,Business,670.0,5.0,Admit
332,3.23,STEM,600.0,5.0,Rejected
333,3.06,STEM,630.0,5.0,Rejected
334,3.01,Business,570.0,7.0,Rejected
335,3.21,Humanities,700.0,6.0,Admit
336,3.5,Humanities,670.0,5.0,Rejected
337,3.29,Humanities,690.0,4.0,Admit
338,3.2,Business,650.0,5.0,Rejected
339,3.11,Humanities,600.0,5.0,Rejected
340,3.1,Business,620.0,6.0,Admit
341,3.39,Business,730.0,6.0,Rejected
342,3.28,Business,660.0,4.0,Rejected
343,3.18,STEM,590.0,6.0,Admit
344,2.96,Humanities,580.0,7.0,Admit
345,3.58,STEM,710.0,5.0,Admit
346,3.35,STEM,700.0,5.0,Admit
347,3.16,STEM,650.0,5.0,Rejected
348,3.1,STEM,620.0,4.0,Rejected
349,3.17,STEM,700.0,5.0,Rejected
350,3.2,Business,690.0,5.0,Rejected
351,3.09,Humanities,660.0,6.0,Admit
352,3.47,Humanities,760.0,4.0,Admit
353,3.24,STEM,630.0,6.0,Rejected
354,3.28,STEM,720.0,5.0,Admit
355,3.37,STEM,690.0,5.0,Admit
356,3.31,Humanities,630.0,6.0,Admit
357,3.03,Humanities,660.0,5.0,Admit
358,3.05,Humanities,580.0,3.0,Rejected
359,3.06,Humanities,600.0,5.0,Rejected
360,3.41,Humanities,620.0,4.0,Rejected
361,3.46,Humanities,650.0,7.0,Rejected
362,3.16,STEM,620.0,5.0,Rejected
363,3.06,Business,630.0,5.0,Rejected
364,3.42,Humanities,700.0,6.0,Admit
365,3.27,Business,660.0,4.0,Admit
366,3.08,STEM,580.0,6.0,Rejected
367,3.27,Humanities,690.0,6.0,Rejected
368,3.22,Business,580.0,5.0,Rejected
369,3.16,Humanities,620.0,5.0,Admit
370,3.39,STEM,710.0,6.0,Rejected
371,3.22,STEM,570.0,6.0,Rejected
372,3.12,Business,570.0,4.0,Rejected
373,3.21,STEM,600.0,4.0,Admit
374,3.01,Humanities,660.0,8.0,Rejected
375,3.47,Business,640.0,6.0,Rejected
376,3.18,Business,690.0,3.0,Admit
377,3.38,Humanities,680.0,7.0,Rejected
378,3.11,STEM,610.0,6.0,Admit
379,3.08,Humanities,620.0,6.0,Rejected
380,3.26,STEM,650.0,6.0,Admit
381,3.21,Business,630.0,4.0,Rejected
382,3.1,Business,610.0,5.0,Admit
383,3.17,Business,580.0,6.0,Rejected
384,3.43,Humanities,660.0,4.0,Admit
385,3.31,STEM,620.0,5.0,Admit
386,3.03,Humanities,590.0,5.0,Admit
387,3.08,STEM,630.0,5.0,Admit
388,3.18,Humanities,620.0,6.0,Rejected
389,3.47,Business,690.0,6.0,Rejected
390,3.42,Business,720.0,3.0,Rejected
391,3.34,Business,680.0,4.0,Admit
392,3.37,Business,680.0,5.0,Rejected
393,3.49,Humanities,690.0,5.0,Admit
394,3.32,STEM,580.0,5.0,Rejected
395,3.3,Humanities,620.0,5.0,Rejected
396,3.38,Humanities,680.0,4.0,Rejected
397,3.18,STEM,590.0,4.0,Rejected
398,3.28,STEM,630.0,5.0,Rejected
399,3.24,Humanities,600.0,3.0,Rejected
400,3.15,Humanities,610.0,6.0,Rejected
401,3.16,STEM,600.0,6.0,Rejected
402,3.22,Humanities,640.0,5.0,Rejected
403,3.35,Business,620.0,6.0,Admit
404,3.36,Business,620.0,4.0,Admit
405,3.06,Business,580.0,5.0,Admit
406,3.17,STEM,660.0,5.0,Rejected
407,3.06,Business,610.0,6.0,Admit
408,3.39,Humanities,670.0,7.0,Rejected
409,3.44,Business,600.0,5.0,Rejected
410,3.14,Humanities,640.0,5.0,Rejected
411,3.29,Business,600.0,5.0,Admit
412,3.18,Humanities,630.0,4.0,Admit
413,3.52,Business,730.0,6.0,Rejected
414,3.31,Humanities,630.0,5.0,Rejected
415,3.13,Humanities,670.0,4.0,Waitlist
416,3.26,STEM,650.0,5.0,Rejected
417,3.07,STEM,630.0,5.0,Waitlist
418,3.07,Business,570.0,4.0,Rejected
419,3.11,Business,620.0,5.0,Rejected
420,3.21,Humanities,700.0,5.0,Rejected
421,3.29,Humanities,640.0,6.0,Rejected
422,3.39,Business,710.0,3.0,Rejected
423,3.22,Business,650.0,4.0,Rejected
424,3.23,STEM,680.0,5.0,Rejected
425,3.0,Humanities,630.0,5.0,Admit
426,3.12,Humanities,630.0,4.0,Rejected
427,3.23,Humanities,630.0,5.0,Rejected
428,3.34,Humanities,760.0,4.0,Rejected
429,3.18,Business,640.0,5.0,Rejected
430,3.33,STEM,640.0,4.0,Rejected
431,3.56,STEM,710.0,6.0,Rejected
432,3.13,Humanities,580.0,4.0,Rejected
433,3.54,Business,690.0,4.0,Admit
434,3.19,STEM,690.0,5.0,Waitlist
435,3.28,STEM,680.0,5.0,Rejected
436,3.43,Humanities,770.0,5.0,Admit
437,3.12,Humanities,600.0,3.0,Waitlist
438,3.37,Humanities,640.0,4.0,Rejected
439,3.17,Business,630.0,5.0,Rejected
440,3.46,STEM,680.0,7.0,Admit
441,3.25,Business,670.0,5.0,Rejected
442,3.25,STEM,620.0,4.0,Admit
443,3.44,Humanities,740.0,5.0,Rejected
444,3.18,Humanities,570.0,5.0,Admit
445,3.22,STEM,630.0,5.0,Rejected
446,3.03,Business,590.0,4.0,Rejected
447,3.3,Business,680.0,4.0,Rejected
448,3.33,Business,660.0,5.0,Rejected
449,3.47,Business,660.0,6.0,Rejected
450,3.3,Humanities,610.0,5.0,Rejected
451,3.33,Business,680.0,5.0,Rejected
452,3.11,Business,570.0,4.0,Rejected
453,3.21,Humanities,650.0,5.0,Rejected
454,3.21,STEM,650.0,6.0,Rejected
455,3.27,Humanities,650.0,6.0,Rejected
456,3.19,Business,650.0,5.0,Rejected
457,3.43,Humanities,640.0,4.0,Rejected
458,3.17,Business,660.0,6.0,Admit
459,3.4,Business,680.0,5.0,Admit
460,3.35,Humanities,660.0,3.0,Waitlist
461,3.08,Humanities,690.0,5.0,Rejected
462,3.46,Business,640.0,5.0,Rejected
463,3.28,Business,600.0,6.0,Rejected
464,3.06,STEM,590.0,6.0,Admit
465,3.37,Humanities,640.0,4.0,Waitlist
466,3.35,Business,760.0,5.0,Rejected
467,3.19,Humanities,660.0,4.0,Waitlist
468,3.36,Humanities,670.0,4.0,Admit
469,3.22,Humanities,670.0,6.0,Admit
470,3.37,Humanities,720.0,6.0,Admit
471,3.17,Humanities,630.0,6.0,Rejected
472,3.48,Business,690.0,5.0,Admit
473,3.34,STEM,680.0,5.0,Admit
474,3.18,STEM,680.0,7.0,Rejected
475,3.1,Business,640.0,6.0,Waitlist
476,3.13,Humanities,640.0,4.0,Rejected
477,3.44,Business,740.0,4.0,Rejected
478,3.24,STEM,620.0,5.0,Rejected
479,3.26,Humanities,670.0,5.0,Rejected
480,3.3,STEM,600.0,2.0,Rejected
481,3.21,STEM,590.0,6.0,Admit
482,3.28,Business,600.0,6.0,Admit
483,3.27,Business,580.0,5.0,Admit
484,3.2,STEM,610.0,5.0,Admit
485,3.15,Business,600.0,5.0,Rejected
486,3.54,Humanities,700.0,4.0,Rejected
487,3.27,Business,620.0,5.0,Rejected
488,3.48,STEM,680.0,3.0,Rejected
489,3.11,STEM,640.0,5.0,Rejected
490,3.3,Business,600.0,5.0,Rejected
491,3.22,Humanities,640.0,3.0,Rejected
492,3.11,Business,570.0,3.0,Rejected
493,3.18,STEM,620.0,4.0,Admit
494,3.15,Humanities,680.0,8.0,Rejected
495,3.33,STEM,640.0,5.0,Rejected
496,3.28,STEM,680.0,4.0,Rejected
497,3.42,Business,720.0,3.0,Admit
498,3.28,STEM,650.0,5.0,Rejected
499,3.06,STEM,600.0,5.0,Rejected
500,3.12,Business,650.0,3.0,Rejected
501,2.96,Humanities,620.0,5.0,Rejected
502,3.55,Business,640.0,6.0,Waitlist
503,3.37,Humanities,640.0,4.0,Rejected
504,3.27,STEM,620.0,6.0,Rejected
505,3.11,STEM,590.0,5.0,Rejected
506,3.33,STEM,660.0,5.0,Admit
507,3.28,Humanities,690.0,4.0,Waitlist
508,3.2,STEM,650.0,6.0,Rejected
509,3.06,Humanities,630.0,5.0,Rejected
510,3.51,STEM,780.0,5.0,Waitlist
511,3.47,Business,650.0,4.0,Admit
512,3.13,STEM,620.0,6.0,Rejected
513,3.18,STEM,620.0,4.0,Rejected
514,3.17,Business,610.0,4.0,Rejected
515,3.32,Humanities,630.0,5.0,Rejected
516,3.31,Business,700.0,4.0,Rejected
517,3.23,Humanities,630.0,6.0,Admit
518,3.2,Humanities,570.0,4.0,Rejected
519,3.18,Business,600.0,5.0,Rejected
520,3.32,Business,610.0,5.0,Rejected
521,3.08,Business,690.0,6.0,Rejected
522,3.32,STEM,690.0,4.0,Rejected
523,3.16,STEM,660.0,4.0,Rejected
524,3.33,Business,720.0,4.0,Rejected
525,3.04,Humanities,570.0,5.0,Rejected
526,3.18,Humanities,670.0,5.0,Rejected
527,3.03,STEM,600.0,5.0,Admit
528,3.42,Humanities,760.0,5.0,Admit
529,3.27,Humanities,650.0,6.0,Admit
530,3.13,Business,650.0,5.0,Admit
531,3.2,Business,610.0,5.0,Rejected
532,3.48,STEM,690.0,5.0,Rejected
533,3.19,Business,590.0,6.0,Admit
534,3.35,Humanities,720.0,5.0,Admit
535,3.61,Business,690.0,5.0,Rejected
536,3.23,STEM,630.0,4.0,Rejected
537,3.35,Humanities,570.0,6.0,Rejected
538,3.03,STEM,570.0,4.0,Rejected
539,3.42,STEM,710.0,5.0,Rejected
540,3.16,Humanities,690.0,4.0,Admit
541,3.43,STEM,700.0,4.0,Rejected
542,3.33,Humanities,640.0,5.0,Rejected
543,3.15,STEM,680.0,4.0,Rejected
544,3.25,Humanities,660.0,3.0,Rejected
545,3.3,Humanities,780.0,5.0,Rejected
546,3.0,Humanities,570.0,4.0,Rejected
547,3.5,Humanities,680.0,6.0,Admit
548,3.22,STEM,700.0,4.0,Rejected
549,3.21,STEM,570.0,4.0,Rejected
550,3.33,Business,630.0,5.0,Waitlist
551,2.93,Humanities,590.0,4.0,Rejected
552,3.35,Humanities,640.0,5.0,Waitlist
553,3.27,Business,740.0,5.0,Rejected
554,3.33,Humanities,620.0,5.0,Rejected
555,3.23,Business,680.0,4.0,Admit
556,3.26,Humanities,610.0,5.0,Rejected
557,3.04,Business,620.0,6.0,Admit
558,3.31,Humanities,580.0,6.0,Rejected
559,3.17,STEM,590.0,7.0,Rejected
560,3.31,STEM,680.0,6.0,Rejected
561,3.06,Business,640.0,4.0,Rejected
562,3.09,Humanities,570.0,5.0,Rejected
563,3.36,STEM,690.0,5.0,Admit
564,3.42,STEM,690.0,7.0,Rejected
565,3.24,Humanities,640.0,5.0,Rejected
566,3.18,Humanities,600.0,4.0,Rejected
567,3.15,Humanities,570.0,4.0,Rejected
568,3.41,Business,660.0,4.0,Rejected
569,2.89,Humanities,590.0,6.0,Rejected
570,3.37,STEM,690.0,4.0,Rejected
571,3.23,Business,630.0,4.0,Rejected
572,3.29,Business,670.0,4.0,Rejected
573,3.16,Business,630.0,4.0,Waitlist
574,3.04,Humanities,580.0,4.0,Rejected
575,3.17,Humanities,630.0,6.0,Admit
576,3.38,Humanities,720.0,7.0,Rejected
577,3.23,Business,570.0,4.0,Rejected
578,3.46,Business,660.0,6.0,Admit
579,3.39,Business,650.0,5.0,Rejected
580,3.32,Business,720.0,4.0,Admit
581,3.34,STEM,670.0,4.0,Rejected
582,3.33,STEM,680.0,4.0,Admit
583,3.35,Business,660.0,3.0,Admit
584,3.35,STEM,690.0,5.0,Admit
585,3.01,Business,570.0,5.0,Rejected
586,3.02,STEM,660.0,4.0,Rejected
587,3.42,Humanities,780.0,3.0,Rejected
588,3.01,Humanities,640.0,5.0,Rejected
589,3.47,STEM,680.0,3.0,Rejected
590,3.04,Business,620.0,4.0,Rejected
591,3.33,Humanities,700.0,4.0,Admit
592,3.44,Business,660.0,6.0,Admit
593,3.19,STEM,700.0,5.0,Admit
594,3.07,Humanities,570.0,6.0,Rejected
595,3.29,Business,630.0,5.0,Rejected
596,3.27,STEM,590.0,7.0,Rejected
597,3.43,Humanities,720.0,5.0,Rejected
598,3.15,Business,620.0,6.0,Rejected
599,3.06,STEM,650.0,5.0,Rejected
600,3.24,STEM,660.0,5.0,Admit
601,2.98,STEM,640.0,3.0,Waitlist
602,3.04,Business,610.0,7.0,Rejected
603,3.31,STEM,720.0,7.0,Admit
604,3.25,Business,630.0,6.0,Rejected
605,2.99,Humanities,630.0,5.0,Rejected
606,3.0,Business,630.0,3.0,Admit
607,3.4,Humanities,660.0,5.0,Rejected
608,3.17,Business,580.0,6.0,Rejected
609,3.69,STEM,780.0,6.0,Admit
610,2.79,Business,600.0,5.0,Rejected
