age,education.num,occupation,race,sex,hours.per.week,income
42,10,Exec-managerial,White,Female,40,>50K
39,14,Sales,White,Male,45,>50K
32,13,Exec-managerial,White,Male,50,>50K
53,10,Craft-repair,White,Male,45,>50K
40,10,Protective-serv,White,Male,40,>50K
38,13,Sales,White,Female,45,>50K
33,11,Craft-repair,White,Male,42,>50K
43,12,Craft-repair,White,Male,70,>50K
50,7,Exec-managerial,White,Male,40,>50K
44,10,Adm-clerical,White,Female,6,>50K
51,13,Sales,Asian-Pac-Islander,Male,40,>50K
41,15,Prof-specialty,White,Male,40,>50K
60,11,Machine-op-inspct,White,Male,70,>50K
37,14,Exec-managerial,White,Male,60,>50K
55,15,Prof-specialty,White,Male,35,>50K
39,13,Sales,White,Male,60,>50K
42,15,Prof-specialty,White,Male,60,>50K
49,13,Sales,White,Male,55,>50K
47,9,Exec-managerial,White,Male,50,>50K
41,15,Prof-specialty,White,Male,45,>50K
55,13,Exec-managerial,White,Male,50,>50K
39,14,Exec-managerial,White,Female,65,>50K
42,13,Exec-managerial,White,Male,60,>50K
46,14,Sales,White,Male,65,>50K
40,14,Exec-managerial,White,Male,45,>50K
32,13,Prof-specialty,White,Male,48,>50K
41,10,Exec-managerial,White,Male,55,>50K
60,15,Prof-specialty,White,Male,80,>50K
31,14,Exec-managerial,White,Male,70,>50K
58,10,Farming-fishing,White,Male,40,>50K
37,13,Sales,White,Male,50,>50K
44,13,Exec-managerial,White,Male,50,>50K
39,15,Prof-specialty,White,Male,50,>50K
43,15,Prof-specialty,Asian-Pac-Islander,Male,55,>50K
55,13,Exec-managerial,White,Male,50,>50K
44,14,Prof-specialty,White,Male,55,>50K
39,15,Prof-specialty,Asian-Pac-Islander,Male,67,>50K
46,13,Sales,White,Male,40,>50K
39,10,Farming-fishing,White,Male,99,>50K
62,13,Farming-fishing,White,Male,60,>50K
31,9,Other-service,White,Female,40,>50K
46,13,Adm-clerical,Asian-Pac-Islander,Male,35,>50K
46,15,Prof-specialty,White,Male,80,>50K
39,11,Craft-repair,White,Male,40,>50K
39,15,Sales,White,Male,99,>50K
59,16,Prof-specialty,White,Male,45,>50K
50,15,Prof-specialty,White,Male,60,>50K
46,16,Prof-specialty,White,Male,55,>50K
53,13,Exec-managerial,White,Male,40,>50K
50,15,Prof-specialty,White,Male,30,>50K
41,15,Exec-managerial,White,Female,55,>50K
36,13,Sales,White,Male,45,>50K
38,15,Prof-specialty,White,Male,90,>50K
54,10,Sales,White,Male,50,>50K
50,13,Exec-managerial,White,Female,20,>50K
47,13,Exec-managerial,White,Male,60,>50K
47,15,Prof-specialty,White,Male,45,>50K
67,13,Exec-managerial,White,Male,40,>50K
67,13,Exec-managerial,White,Male,75,>50K
72,16,Prof-specialty,White,Male,25,>50K
46,14,Exec-managerial,White,Male,50,>50K
78,13,Exec-managerial,White,Male,40,>50K
71,13,Exec-managerial,White,Male,60,>50K
83,13,Exec-managerial,White,Male,55,>50K
68,14,Exec-managerial,White,Male,40,>50K
26,11,Adm-clerical,White,Male,45,<=50K
68,16,Prof-specialty,White,Male,60,>50K
49,9,Adm-clerical,White,Female,40,>50K
36,9,Prof-specialty,White,Male,60,<=50K
70,13,Craft-repair,White,Male,12,>50K
27,10,Adm-clerical,Black,Female,20,<=50K
35,10,Exec-managerial,White,Male,40,<=50K
23,9,Sales,White,Male,40,<=50K
81,9,Exec-managerial,White,Male,26,>50K
66,16,Sales,White,Male,25,>50K
71,9,Exec-managerial,White,Male,45,>50K
68,10,Sales,White,Male,55,>50K
68,14,Prof-specialty,White,Male,42,>50K
52,9,Sales,Black,Male,40,<=50K
40,12,Craft-repair,White,Male,50,<=50K
21,10,Exec-managerial,White,Male,48,<=50K
35,9,Craft-repair,White,Male,40,<=50K
70,13,Exec-managerial,White,Male,50,>50K
61,9,Farming-fishing,White,Male,50,<=50K
65,9,Farming-fishing,White,Male,65,<=50K
46,3,Craft-repair,White,Female,45,<=50K
26,13,Prof-specialty,White,Male,55,<=50K
59,9,Farming-fishing,White,Male,40,<=50K
61,3,Handlers-cleaners,Black,Male,40,<=50K
60,13,Prof-specialty,White,Female,40,<=50K
49,10,Exec-managerial,White,Male,50,<=50K
34,13,Machine-op-inspct,Asian-Pac-Islander,Male,40,<=50K
25,13,Prof-specialty,White,Female,35,<=50K
55,10,Adm-clerical,Black,Female,45,<=50K
59,9,Protective-serv,Black,Female,40,<=50K
28,10,Exec-managerial,White,Male,40,<=50K
56,14,Sales,White,Female,60,<=50K
41,9,Craft-repair,White,Male,40,<=50K
42,9,Adm-clerical,Black,Female,40,<=50K
28,15,Prof-specialty,White,Male,40,<=50K
40,15,Other-service,White,Female,35,<=50K
69,13,Prof-specialty,White,Male,40,>50K
66,9,Craft-repair,White,Male,40,<=50K
69,3,Machine-op-inspct,White,Male,40,<=50K
55,14,Prof-specialty,White,Female,40,<=50K
57,9,Adm-clerical,White,Male,40,<=50K
20,10,Farming-fishing,White,Male,10,<=50K
33,9,Craft-repair,White,Male,84,<=50K
30,10,Sales,Asian-Pac-Islander,Male,40,<=50K
40,13,Tech-support,Asian-Pac-Islander,Female,48,<=50K
38,10,Machine-op-inspct,White,Male,55,>50K
46,12,Adm-clerical,White,Male,38,>50K
29,13,Exec-managerial,White,Female,45,>50K
57,13,Adm-clerical,White,Male,40,<=50K
39,9,Craft-repair,White,Male,42,>50K
47,13,Exec-managerial,White,Male,40,>50K
26,13,Exec-managerial,White,Male,45,>50K
27,9,Craft-repair,White,Male,50,<=50K
23,13,Prof-specialty,White,Female,40,>50K
34,14,Prof-specialty,White,Male,50,<=50K
33,8,Craft-repair,White,Male,42,<=50K
38,14,Prof-specialty,White,Female,60,<=50K
57,10,Adm-clerical,White,Female,38,>50K
36,9,Exec-managerial,White,Male,70,<=50K
44,13,Tech-support,White,Male,40,>50K
49,16,Exec-managerial,White,Female,50,>50K
44,10,Sales,White,Male,60,<=50K
55,10,Farming-fishing,White,Male,62,>50K
45,9,Farming-fishing,White,Male,44,>50K
48,9,Exec-managerial,White,Female,40,>50K
31,13,Exec-managerial,White,Male,45,>50K
55,9,Prof-specialty,White,Female,40,>50K
70,10,Exec-managerial,White,Male,40,>50K
70,14,Exec-managerial,White,Male,8,>50K
73,13,Prof-specialty,White,Male,40,>50K
72,15,Prof-specialty,White,Male,28,>50K
31,9,Machine-op-inspct,White,Female,40,<=50K
28,6,Adm-clerical,White,Female,35,<=50K
23,13,Adm-clerical,White,Male,40,>50K
49,5,Handlers-cleaners,White,Male,40,>50K
27,10,Protective-serv,White,Male,40,>50K
90,9,Other-service,Black,Male,40,<=50K
68,9,Adm-clerical,White,Female,30,<=50K
65,9,Adm-clerical,White,Female,59,<=50K
67,13,Exec-managerial,White,Female,5,<=50K
66,13,Prof-specialty,Black,Female,25,<=50K
24,10,Adm-clerical,White,Male,24,<=50K
44,10,Machine-op-inspct,White,Male,35,<=50K
35,10,Adm-clerical,White,Female,40,<=50K
20,12,Other-service,White,Female,18,<=50K
38,9,Craft-repair,White,Male,40,<=50K
39,10,Other-service,Black,Female,40,<=50K
32,10,Machine-op-inspct,White,Female,40,<=50K
42,4,Handlers-cleaners,Black,Male,40,<=50K
42,14,Exec-managerial,Asian-Pac-Islander,Male,60,>50K
64,7,Craft-repair,White,Male,40,<=50K
28,4,Handlers-cleaners,Other,Male,40,<=50K
41,11,Sales,Other,Male,84,<=50K
41,4,Craft-repair,White,Male,40,<=50K
58,2,Transport-moving,White,Male,18,<=50K
59,10,Exec-managerial,White,Male,40,<=50K
34,9,Farming-fishing,White,Female,12,<=50K
45,9,Transport-moving,White,Male,45,<=50K
29,9,Adm-clerical,White,Female,40,<=50K
47,6,Sales,White,Male,52,<=50K
40,10,Machine-op-inspct,White,Male,40,<=50K
47,3,Sales,White,Male,50,<=50K
41,9,Handlers-cleaners,White,Male,40,<=50K
34,10,Transport-moving,Black,Male,40,<=50K
65,10,Exec-managerial,White,Male,10,>50K
70,9,Handlers-cleaners,White,Male,40,>50K
75,15,Prof-specialty,White,Male,50,>50K
65,9,Adm-clerical,White,Male,40,>50K
65,10,Exec-managerial,Black,Male,40,>50K
73,10,Prof-specialty,White,Male,50,>50K
68,11,Prof-specialty,White,Male,40,<=50K
74,9,Sales,White,Male,20,<=50K
43,3,Machine-op-inspct,Asian-Pac-Islander,Female,72,<=50K
19,7,Craft-repair,White,Male,55,<=50K
37,9,Craft-repair,White,Male,40,<=50K
45,12,Adm-clerical,Asian-Pac-Islander,Male,40,<=50K
64,14,Prof-specialty,Asian-Pac-Islander,Male,60,<=50K
30,9,Transport-moving,White,Male,40,<=50K
51,10,Prof-specialty,White,Female,60,<=50K
35,7,Craft-repair,White,Male,40,<=50K
29,9,Adm-clerical,White,Female,20,<=50K
34,10,Adm-clerical,White,Female,40,<=50K
41,9,Craft-repair,White,Male,60,<=50K
35,10,Craft-repair,White,Male,45,<=50K
26,10,Adm-clerical,White,Male,40,<=50K
54,9,Transport-moving,White,Male,50,<=50K
52,9,Craft-repair,White,Male,40,<=50K
50,9,Farming-fishing,White,Male,20,<=50K
31,10,Adm-clerical,White,Male,40,<=50K
38,9,Transport-moving,White,Male,40,<=50K
30,10,Craft-repair,White,Male,40,<=50K
34,13,Prof-specialty,White,Male,40,<=50K
31,10,Sales,White,Male,57,<=50K
52,9,Machine-op-inspct,White,Male,38,<=50K
54,9,Craft-repair,White,Male,40,<=50K
38,9,Craft-repair,White,Male,44,<=50K
39,9,Machine-op-inspct,White,Male,40,<=50K
29,11,Tech-support,White,Male,40,<=50K
45,9,Craft-repair,White,Male,40,<=50K
34,9,Transport-moving,White,Male,55,<=50K
38,9,Craft-repair,White,Male,40,<=50K
39,6,Craft-repair,White,Male,40,<=50K
61,9,Craft-repair,White,Male,20,<=50K
43,7,Transport-moving,White,Male,40,<=50K
35,10,Handlers-cleaners,White,Male,40,<=50K
46,10,Sales,White,Male,50,<=50K
38,9,Handlers-cleaners,White,Male,40,<=50K
42,9,Craft-repair,White,Male,48,<=50K
34,12,Tech-support,White,Male,10,<=50K
29,4,Farming-fishing,White,Male,40,<=50K
32,7,Craft-repair,White,Male,30,<=50K
60,9,Protective-serv,White,Male,34,<=50K
49,9,Craft-repair,White,Male,40,<=50K
53,9,Other-service,White,Male,45,<=50K
56,4,Handlers-cleaners,White,Male,40,<=50K
48,7,Transport-moving,White,Male,40,<=50K
32,13,Prof-specialty,Asian-Pac-Islander,Male,40,<=50K
42,9,Craft-repair,White,Male,40,<=50K
32,12,Prof-specialty,White,Male,42,<=50K
28,12,Protective-serv,White,Male,40,<=50K
26,11,Craft-repair,White,Male,40,<=50K
59,13,Exec-managerial,White,Male,50,<=50K
47,13,Prof-specialty,White,Male,30,<=50K
41,9,Craft-repair,White,Male,60,<=50K
36,9,Craft-repair,White,Female,40,<=50K
45,13,Sales,White,Male,55,<=50K
30,12,Prof-specialty,White,Male,40,<=50K
36,9,Transport-moving,White,Male,40,<=50K
34,9,Exec-managerial,White,Male,40,<=50K
53,9,Transport-moving,White,Male,40,<=50K
51,9,Sales,White,Male,45,<=50K
47,16,Transport-moving,White,Male,45,<=50K
30,9,Adm-clerical,White,Male,42,<=50K
20,9,Other-service,White,Male,40,<=50K
42,14,Adm-clerical,White,Male,60,<=50K
31,7,Craft-repair,White,Male,40,<=50K
33,13,Handlers-cleaners,White,Male,40,<=50K
25,12,Tech-support,White,Female,30,<=50K
20,9,Other-service,White,Male,40,<=50K
23,9,Adm-clerical,Black,Male,40,<=50K
41,10,Craft-repair,White,Male,50,<=50K
54,9,Craft-repair,White,Male,35,<=50K
25,9,Craft-repair,White,Male,50,<=50K
19,10,Adm-clerical,White,Female,40,<=50K
24,9,Adm-clerical,White,Female,37,<=50K
56,13,Transport-moving,Black,Male,65,<=50K
21,10,Other-service,White,Female,40,<=50K
34,9,Machine-op-inspct,Black,Male,40,<=50K
19,9,Adm-clerical,White,Male,40,<=50K
48,9,Adm-clerical,White,Female,40,<=50K
34,13,Other-service,White,Male,40,<=50K
31,9,Farming-fishing,White,Male,40,<=50K
36,9,Other-service,Black,Female,40,<=50K
27,9,Other-service,White,Male,40,<=50K
27,10,Craft-repair,Asian-Pac-Islander,Male,40,<=50K
35,13,Sales,White,Female,65,<=50K
31,13,Exec-managerial,White,Male,60,<=50K
27,9,Craft-repair,Black,Male,40,<=50K
28,12,Adm-clerical,White,Female,40,<=50K
42,9,Transport-moving,White,Male,46,<=50K
44,10,Exec-managerial,White,Male,45,<=50K
41,13,Sales,White,Male,56,<=50K
28,13,Tech-support,White,Female,35,<=50K
41,9,Adm-clerical,White,Female,40,<=50K
35,6,Other-service,Black,Female,40,<=50K
58,14,Adm-clerical,White,Female,45,<=50K
40,9,Machine-op-inspct,White,Male,48,<=50K
31,11,Transport-moving,White,Male,60,<=50K
30,9,Sales,White,Female,40,<=50K
32,10,Tech-support,Amer-Indian-Eskimo,Male,40,<=50K
25,10,Adm-clerical,White,Male,40,<=50K
34,9,Transport-moving,White,Male,40,<=50K
56,10,Exec-managerial,White,Female,40,<=50K
45,9,Other-service,White,Male,40,<=50K
50,9,Adm-clerical,White,Male,40,<=50K
27,6,Sales,White,Male,40,<=50K
51,10,Sales,White,Male,40,>50K
40,12,Tech-support,White,Male,60,>50K
41,14,Exec-managerial,White,Male,65,>50K
49,14,Exec-managerial,White,Male,45,>50K
37,11,Craft-repair,White,Male,40,>50K
36,13,Exec-managerial,White,Female,45,>50K
35,15,Prof-specialty,White,Male,80,>50K
29,9,Sales,White,Female,25,>50K
50,13,Prof-specialty,White,Female,40,>50K
46,13,Sales,White,Male,40,>50K
44,9,Exec-managerial,White,Male,45,>50K
42,14,Exec-managerial,White,Male,40,>50K
38,15,Prof-specialty,White,Male,50,>50K
45,13,Exec-managerial,White,Male,55,>50K
43,14,Exec-managerial,White,Male,60,>50K
47,15,Prof-specialty,White,Male,60,>50K
58,15,Prof-specialty,White,Male,50,>50K
48,15,Tech-support,White,Male,40,>50K
42,13,Exec-managerial,White,Male,48,>50K
55,14,Exec-managerial,White,Male,50,>50K
51,6,Sales,White,Male,40,>50K
32,14,Exec-managerial,Black,Male,40,>50K
45,13,Exec-managerial,White,Male,50,>50K
56,14,Craft-repair,White,Male,44,>50K
38,14,Exec-managerial,White,Male,60,>50K
45,11,Sales,White,Male,50,>50K
49,14,Prof-specialty,White,Female,40,>50K
36,9,Prof-specialty,White,Male,40,>50K
49,14,Exec-managerial,White,Male,40,>50K
30,16,Prof-specialty,Asian-Pac-Islander,Male,40,>50K
42,15,Prof-specialty,White,Male,50,>50K
55,14,Exec-managerial,White,Male,40,>50K
34,13,Exec-managerial,White,Male,45,>50K
54,16,Prof-specialty,White,Male,50,>50K
42,13,Exec-managerial,White,Male,70,>50K
25,13,Prof-specialty,White,Male,40,>50K
55,9,Exec-managerial,White,Male,45,>50K
58,14,Prof-specialty,White,Male,50,>50K
62,9,Transport-moving,White,Male,60,>50K
43,15,Prof-specialty,White,Male,40,>50K
57,14,Prof-specialty,Black,Female,40,>50K
42,16,Prof-specialty,White,Male,60,>50K
63,13,Prof-specialty,Asian-Pac-Islander,Male,32,>50K
47,15,Prof-specialty,White,Male,50,>50K
37,13,Exec-managerial,White,Male,50,>50K
40,13,Sales,White,Male,60,>50K
43,13,Prof-specialty,White,Male,50,>50K
43,15,Prof-specialty,White,Male,70,>50K
41,15,Prof-specialty,White,Male,60,>50K
32,15,Prof-specialty,White,Male,60,>50K
47,13,Sales,White,Male,40,>50K
39,10,Handlers-cleaners,White,Male,60,>50K
53,10,Exec-managerial,White,Male,40,>50K
34,13,Exec-managerial,White,Male,45,>50K
36,13,Exec-managerial,White,Male,40,>50K
47,14,Exec-managerial,White,Male,41,>50K
52,11,Exec-managerial,White,Male,45,>50K
40,15,Prof-specialty,Amer-Indian-Eskimo,Male,60,>50K
42,13,Prof-specialty,White,Male,40,>50K
51,14,Protective-serv,White,Male,40,>50K
55,14,Tech-support,White,Male,20,>50K
38,9,Sales,White,Male,99,>50K
52,10,Exec-managerial,White,Male,50,>50K
60,9,Tech-support,White,Male,40,>50K
55,11,Prof-specialty,White,Male,50,>50K
47,14,Exec-managerial,Black,Male,50,>50K
46,14,Tech-support,White,Male,40,>50K
35,14,Prof-specialty,White,Male,45,>50K
59,13,Exec-managerial,White,Male,50,>50K
57,14,Prof-specialty,White,Male,45,>50K
46,10,Prof-specialty,White,Male,50,>50K
46,14,Exec-managerial,White,Male,40,>50K
52,9,Craft-repair,White,Male,40,>50K
45,16,Prof-specialty,White,Female,30,>50K
37,13,Tech-support,White,Male,40,>50K
46,14,Exec-managerial,White,Male,45,>50K
44,13,Prof-specialty,Black,Male,50,>50K
45,11,Exec-managerial,White,Male,50,>50K
43,9,Machine-op-inspct,White,Male,52,>50K
54,14,Prof-specialty,White,Male,40,>50K
50,14,Prof-specialty,White,Male,40,>50K
51,13,Exec-managerial,White,Male,60,>50K
45,13,Prof-specialty,White,Male,40,>50K
36,14,Prof-specialty,White,Male,60,>50K
27,13,Exec-managerial,White,Male,50,>50K
36,13,Sales,White,Male,35,>50K
53,14,Exec-managerial,White,Male,55,>50K
51,14,Prof-specialty,White,Male,35,>50K
28,13,Prof-specialty,White,Female,24,>50K
47,10,Craft-repair,White,Male,40,>50K
45,13,Exec-managerial,White,Male,60,>50K
45,14,Prof-specialty,White,Female,35,>50K
39,15,Prof-specialty,White,Male,50,>50K
39,13,Exec-managerial,White,Male,40,>50K
55,14,Prof-specialty,White,Male,40,>50K
62,10,Exec-managerial,White,Male,98,>50K
49,13,Sales,Asian-Pac-Islander,Male,50,>50K
53,14,Exec-managerial,White,Male,40,>50K
31,14,Exec-managerial,White,Male,48,>50K
42,9,Exec-managerial,White,Male,60,>50K
39,13,Transport-moving,White,Male,45,>50K
60,13,Exec-managerial,White,Male,45,>50K
26,15,Prof-specialty,White,Male,40,>50K
37,14,Exec-managerial,White,Male,40,>50K
45,13,Exec-managerial,White,Male,60,>50K
37,12,Sales,White,Male,45,>50K
32,13,Sales,White,Male,45,>50K
39,9,Exec-managerial,White,Male,40,>50K
58,6,Craft-repair,White,Female,35,>50K
45,14,Exec-managerial,White,Male,43,>50K
41,13,Prof-specialty,White,Male,45,>50K
36,9,Farming-fishing,White,Male,65,>50K
51,14,Prof-specialty,White,Male,60,>50K
39,10,Exec-managerial,White,Male,62,>50K
56,15,Prof-specialty,White,Male,50,>50K
53,9,Adm-clerical,Black,Male,40,>50K
40,11,Prof-specialty,White,Female,15,>50K
57,14,Exec-managerial,Black,Male,40,>50K
50,9,Craft-repair,White,Male,35,>50K
34,15,Prof-specialty,White,Male,55,>50K
35,13,Exec-managerial,White,Female,30,>50K
30,9,Prof-specialty,White,Male,15,>50K
53,14,Prof-specialty,White,Male,55,>50K
31,16,Prof-specialty,White,Male,70,>50K
37,13,Exec-managerial,White,Male,60,>50K
34,13,Sales,White,Male,50,>50K
36,14,Prof-specialty,White,Male,50,>50K
40,13,Exec-managerial,White,Male,50,>50K
51,10,Craft-repair,White,Male,60,>50K
33,9,Sales,White,Male,45,>50K
40,16,Prof-specialty,White,Female,20,>50K
50,4,Craft-repair,White,Male,63,>50K
46,14,Sales,White,Male,60,>50K
54,16,Exec-managerial,White,Male,50,>50K
39,14,Prof-specialty,White,Female,24,>50K
54,10,Sales,White,Male,40,>50K
31,16,Prof-specialty,White,Male,99,>50K
51,14,Exec-managerial,White,Male,50,>50K
55,16,Prof-specialty,White,Male,55,>50K
36,14,Adm-clerical,White,Male,40,>50K
41,13,Exec-managerial,Asian-Pac-Islander,Male,60,>50K
56,10,Exec-managerial,White,Female,50,>50K
38,13,Tech-support,White,Male,40,>50K
47,9,Craft-repair,White,Male,45,>50K
39,14,Prof-specialty,White,Male,45,>50K
59,13,Exec-managerial,White,Male,50,>50K
54,16,Exec-managerial,White,Male,43,>50K
54,13,Exec-managerial,White,Female,35,>50K
31,13,Exec-managerial,White,Male,55,>50K
59,10,Exec-managerial,White,Male,48,>50K
46,14,Prof-specialty,White,Male,50,>50K
57,16,Tech-support,White,Male,40,>50K
36,14,Prof-specialty,White,Female,44,>50K
44,13,Machine-op-inspct,White,Male,40,>50K
33,15,Prof-specialty,White,Male,50,>50K
54,10,Tech-support,White,Male,18,>50K
55,14,Exec-managerial,White,Male,60,>50K
36,14,Sales,White,Male,50,>50K
49,15,Prof-specialty,White,Female,60,>50K
41,15,Prof-specialty,White,Male,50,>50K
40,16,Prof-specialty,Asian-Pac-Islander,Male,45,>50K
43,13,Exec-managerial,White,Male,50,>50K
39,14,Prof-specialty,White,Female,20,>50K
48,15,Prof-specialty,White,Male,45,>50K
43,13,Exec-managerial,White,Male,50,>50K
42,13,Exec-managerial,White,Male,60,>50K
36,13,Prof-specialty,White,Male,45,>50K
39,14,Exec-managerial,White,Male,40,<=50K
21,10,Prof-specialty,Asian-Pac-Islander,Male,40,<=50K
23,10,Sales,White,Female,40,<=50K
47,9,Exec-managerial,White,Female,40,<=50K
30,9,Adm-clerical,White,Female,40,<=50K
35,10,Machine-op-inspct,White,Male,40,<=50K
26,10,Adm-clerical,White,Female,40,<=50K
26,13,Exec-managerial,White,Male,55,<=50K
41,14,Prof-specialty,White,Male,40,<=50K
30,10,Protective-serv,Black,Male,40,<=50K
28,9,Craft-repair,White,Male,40,<=50K
56,9,Sales,White,Female,40,<=50K
35,9,Machine-op-inspct,White,Male,40,<=50K
34,11,Tech-support,White,Female,40,<=50K
29,9,Craft-repair,White,Male,35,<=50K
23,12,Adm-clerical,White,Female,20,<=50K
24,9,Adm-clerical,White,Female,40,<=50K
62,10,Adm-clerical,White,Male,40,<=50K
77,10,Adm-clerical,White,Female,1,<=50K
47,15,Prof-specialty,White,Female,60,>50K
48,16,Prof-specialty,White,Male,60,>50K
42,15,Prof-specialty,White,Male,50,>50K
31,14,Tech-support,White,Male,40,>50K
43,13,Exec-managerial,White,Male,40,>50K
50,16,Prof-specialty,White,Male,65,>50K
36,13,Prof-specialty,White,Male,50,>50K
49,14,Prof-specialty,White,Male,40,>50K
38,9,Craft-repair,White,Male,40,>50K
48,16,Prof-specialty,White,Female,46,>50K
46,13,Prof-specialty,White,Male,40,>50K
56,9,Other-service,White,Male,60,>50K
37,9,Exec-managerial,White,Male,45,>50K
51,9,Machine-op-inspct,Black,Male,40,>50K
43,14,Exec-managerial,White,Male,40,>50K
46,9,Craft-repair,White,Male,40,<=50K
42,14,Exec-managerial,White,Male,60,>50K
45,10,Adm-clerical,White,Female,35,>50K
23,10,Machine-op-inspct,White,Male,40,<=50K
45,13,Sales,White,Male,40,>50K
30,9,Adm-clerical,White,Male,40,<=50K
49,16,Prof-specialty,Black,Male,60,>50K
49,12,Sales,White,Female,40,>50K
57,15,Craft-repair,Asian-Pac-Islander,Male,40,>50K
42,13,Farming-fishing,White,Male,80,>50K
43,10,Adm-clerical,White,Female,40,>50K
43,10,Exec-managerial,White,Male,40,>50K
42,15,Prof-specialty,White,Male,60,>50K
53,13,Exec-managerial,White,Male,55,>50K
40,14,Prof-specialty,White,Male,48,>50K
46,14,Tech-support,White,Male,40,>50K
41,13,Exec-managerial,White,Male,60,>50K
49,13,Craft-repair,White,Male,40,>50K
31,13,Prof-specialty,White,Male,50,>50K
34,14,Exec-managerial,White,Male,50,>50K
40,14,Tech-support,Asian-Pac-Islander,Male,40,>50K
50,10,Adm-clerical,White,Female,38,>50K
54,9,Craft-repair,Asian-Pac-Islander,Male,40,>50K
49,10,Adm-clerical,White,Male,50,>50K
44,14,Exec-managerial,White,Female,60,>50K
57,13,Prof-specialty,White,Male,40,>50K
28,14,Prof-specialty,White,Female,55,<=50K
57,10,Sales,White,Male,40,>50K
59,13,Prof-specialty,White,Male,43,>50K
38,12,Exec-managerial,White,Female,40,>50K
36,9,Farming-fishing,White,Male,60,>50K
55,10,Exec-managerial,White,Male,40,>50K
34,9,Sales,White,Male,60,>50K
51,10,Sales,White,Male,50,>50K
46,9,Transport-moving,White,Male,70,>50K
33,14,Exec-managerial,White,Male,45,>50K
31,13,Prof-specialty,White,Female,35,>50K
31,13,Exec-managerial,White,Female,35,>50K
59,9,Exec-managerial,White,Male,52,>50K
48,12,Sales,White,Male,40,>50K
33,13,Exec-managerial,White,Male,45,>50K
46,10,Craft-repair,White,Male,50,>50K
53,13,Exec-managerial,Black,Male,40,>50K
39,14,Prof-specialty,White,Female,18,>50K
44,9,Prof-specialty,White,Male,40,>50K
45,14,Exec-managerial,White,Male,50,>50K
42,13,Protective-serv,White,Male,40,>50K
24,4,Transport-moving,White,Male,40,>50K
57,13,Sales,White,Male,40,>50K
51,13,Prof-specialty,White,Male,40,>50K
50,13,Exec-managerial,White,Male,40,>50K
50,13,Adm-clerical,White,Male,50,>50K
52,14,Exec-managerial,White,Male,50,>50K
46,13,Sales,White,Male,42,>50K
44,10,Sales,Asian-Pac-Islander,Male,40,>50K
47,13,Exec-managerial,White,Male,45,>50K
36,13,Sales,White,Male,45,>50K
34,10,Prof-specialty,White,Male,38,>50K
49,13,Exec-managerial,White,Male,50,>50K
45,13,Sales,White,Male,45,>50K
46,13,Exec-managerial,White,Male,50,>50K
53,13,Exec-managerial,White,Male,48,>50K
63,16,Exec-managerial,White,Male,50,>50K
52,13,Prof-specialty,White,Male,40,>50K
44,13,Exec-managerial,Black,Male,40,>50K
37,13,Sales,White,Male,40,>50K
44,16,Prof-specialty,White,Male,40,>50K
53,13,Prof-specialty,White,Male,40,>50K
32,13,Tech-support,White,Male,40,>50K
50,16,Prof-specialty,White,Male,45,>50K
42,14,Prof-specialty,Asian-Pac-Islander,Male,40,>50K
50,12,Craft-repair,White,Male,40,>50K
33,13,Sales,White,Male,55,>50K
